id,Label,Source,Target,Type,Timestamp
5055,Charles Thomson,Charles Thomson,Samuel Johnston,Directed,1787-09-04
5056,Nicholas Gilman,Nicholas Gilman,John Langdon,Directed,1787-09-05
5057,Alexander Hamilton,Alexander Hamilton,Elbridge Gerry,Directed,1787-09-06
5058,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-09-06
5059, South Carolina Delegates, South Carolina Delegates,Thomas Pinckney,Directed,1787-09-06
5060,Paine Wingate,Paine Wingate,John Langdon,Directed,1787-09-11
5061,Nicholas Gilman,Nicholas Gilman,John Langdon,Directed,1787-09-13
5062,Henry Lee,Henry Lee,George Washington,Directed,1787-09-13
5063,James Madison,James Madison,George Washington,Directed,1787-09-14
5064,Edward Carrington,Edward Carrington,James Monroe,Directed,1787-09-15
5065,Charles Thomson,Charles Thomson, Several States,Directed,1787-09-17
5066,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-09-17
5067,Benjamin Contee,Benjamin Contee,Christopher Richmond,Directed,1787-09-20
5068,James Madison,James Madison,Thomas Jefferson,Directed,1787-09-21
5069,John Swann,John Swann,James Iredell,Directed,1787-09-21
5070,Hugh Williamson,Hugh Williamson,James Iredell,Directed,1787-09-22
5071,James Madison,James Madison,Edmund Randolph,Directed,1787-09-24
5072,James Madison,James Madison,George Washington,Directed,1787-09-26
5073,George Thatcher,George Thatcher,Nathan Dane,Directed,1787-10-02
5074,John Armstrong jr.,John Armstrong jr.,to Peter Muhlenberg,Directed,1787-10-09
5075,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-10-10
5076,James Madison,James Madison,John Brown,Directed,1787-10-12
5077,Edward Carrington,Edward Carrington,James Monroe,Directed,1787-10-12
5078,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-10-13
5079,James Madison,James Madison,Thomas Jefferson,Directed,1787-10-17
5080,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-10-17
5081,Peleg Arnold,Peleg Arnold,John Collins,Directed,1787-10-20
5082,Edward Carrington,Edward Carrington,Edmund Randolph,Directed,1787-10-20
5083,Charles Thomson,Charles Thomson,George Maws,Directed,1787-10-22
5084,Samuel Alleyne Otis,Samuel Alleyne Otis,Nathan Dane,Directed,1787-10-29
5085,Charles Thomson,Charles Thomson, Several States,Directed,1787-11-04
5086,Cyrus Griffin,Cyrus Griffin,Edmund Randolph,Directed,1787-11-22
5087,James Madison,James Madison,Thomas Jefferson,Directed,1787-12-08
5088,John Jay,John Jay,Peter T. Curtenius,Directed,1787-12-10
5089,Samuel Alleync Otis,Samuel Alleync Otis,Jeremiah Wadsworth,Directed,1787-01-12
5090,Tench Coxe,Tench Coxe,Benjamin Rush,Directed,1787-01-13
5091,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-01-19
5092,Tench Coxe,Tench Coxe,Thomas Mifflin,Directed,1787-01-26
5093,Tench Coxe,Tench Coxe,James Madison,Directed,1787-01-27
5094,John Dawson,John Dawson,Beverley Randolph,Directed,1787-01-29
5095,John Dawson,John Dawson,James Madison,Directed,1787-01-29
5096,Tench Coxe,Tench Coxe,Thomas Mifflin,Directed,1787-02-01
5097,Cyrus Griffin,Cyrus Griffin,Beverley Randolph,Directed,1787-02-02
5098, Pennsylvania Delegates, Pennsylvania Delegates,George Ross,Directed,1787-02-02
5099,Samuel Alleyne Otis,Samuel Alleyne Otis,James Madison,Directed,1787-02-04
5100,Charles Thomson,Charles Thomson,John Eager Howard,Directed,1787-02-09
5101,James Randolph Reid,James Randolph Reid,Nicholas Gilman,Directed,1787-02-14
5102,Charles Thomson,Charles Thomson,Samuel Huntington,Directed,1787-02-19
5103,Hugh Williamson,Hugh Williamson,William Blount,Directed,1787-02-22
5104,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-03-02
5105,Cyrus Griffin,Cyrus Griffin,Beverley Randolph,Directed,1787-03-09
5106,Hugh Williamson,Hugh Williamson,Samuel Johnston,Directed,1787-03-09
5107,Charles Thomson,Charles Thomson,Winthrop Sargent,Directed,1787-03-11
5108,Charles Thomson,Charles Thomson, Several States,Directed,1787-03-18
